Element	  | Temperature      | Absorption                      | Reflection                      | Thickness       | Index           | Loss Tangent    | Conductivity    | Surface Rough   | Spillover                       | Spillover Temp  | Scatter Frac                    | Scatter Temp   
Baffle| 273.0 +/- 0.000  | [0.01,0.01] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA              | NA	                             | NA| NA	                         | NA             
UHMWWindow| 273.0 +/- 0.000  | NA                              | [0.010,0.010] +/- [0.000,0.000] | 30.00 +/- 0.000 | 1.525 +/- 0.000 | 2.000 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader1| 250.00 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA	       | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader2| 210.10 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader3| 185.00 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
IRShader4| 150.010 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader5| 125.000 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
IRShader6| 100 +/- 0.000  | [0.00189,0.00234] +/- [0.000,0.000] | [0.000,0.000] +/- [0.000,0.000] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
AluminaFilter1| 50.000 +/- 0.000  | NA                              | [0.02,0.02] +/- [0.000,0.000] | 6.00 +/- 0.000 | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
HWP| 4.000 +/- 0.000  | NA                              | [0.02,0.02] +/- [0.000,0.000] | 6.3 +/- 0.000| 3.200 +/- 0.000| 0.5000 +/- 0.000| NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
AluminaLens1| 4.000 +/- 0.000  | NA                              | [0.02,0.02] +/- [0.000,0.000] | 10.00 +/- 0.000 | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
ApertureStop| 4.000 +/- 0.030  | NA                              | [0.006,0.006] +/- [0.000,0.000] | NA| NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
AluminaLens2| 1.000 +/- 0.000  | NA                              | [0.02,0.02] +/- [0.000,0.000] | 10.00 +/- 0.000 | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
LowPass3| 0.1000 +/- 0.000  | [0.010,0.010] +/- [0.000,0.000] | BAND                            | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
