Element	     | Temperature        | Absorption                               | Reflection                         | Thickness       | Index           | Loss Tangent    | Conductivity    | Surface Rough   | Spillover                       | Spillover Temp  | Scatter Frac                    | Scatter Temp   
Baffle       | 273.0 +/- 0.000    | [0.01,0.01,0.01] +/- [0.0,0.0,0.0]       | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA              | NA	                             | NA              | NA	                         | NA             
UHMWWindow   | 273.0 +/- 0.000    | NA                                       | [0.01,0.01,0.01] +/- [0.0,0.0,0.0] | 30.00 +/- 0.000 | 1.525 +/- 0.000 | 2.000 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader1    | 250.00 +/- 0.000   | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA	           | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader2    | 210.10 +/- 0.000   | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader3    | 185.00 +/- 0.000   | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
IRShader4    | 150.010 +/- 0.000  | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
IRShader5    | 125.000 +/- 0.000  | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
IRShader6    | 100 +/- 0.000      | [0.0008,0.00131,0.0189] +/- [0.0,0.0,0.0] | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA              | NA	                         | NA            
AluminaFilter1| 50.000 +/- 0.000  | NA                                       | [0.02,0.02,0.02] +/- [0.0,0.0,0.0] | 6.00 +/- 0.000  | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA             
AluminaLens1 | 4.000 +/- 0.030    | NA                                       | [0.02,0.02,0.02] +/- [0.0,0.0,0.0] | 10.00 +/- 0.000 | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA              | NA	                         | NA    
Aperture     | 4.000 +/- 0.030    | NA                                       | [0.00,0.00,0.00] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA	         | NA	           | NA	                             | NA              | NA	                         | NA    
AluminaLens2 | 1.000 +/- 0.000    | NA                                       | [0.02,0.02,0.02] +/- [0.0,0.0,0.0] | 10.00 +/- 0.000 | 3.100 +/- 0.000 | 1.500 +/- 0.000 | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
LowPass3     | 0.1000 +/- 0.000   | [0.01,0.01,0.01] +/- [0.0,0.0,0.0]       | [0.05,0.05,0.05] +/- [0.0,0.0,0.0] | NA              | NA              | NA	       | NA		 | NA	           | NA	                             | NA	       | NA	                         | NA	        
